"Country","Year","Value"
"BB",1971,30859
"BB",1972,33686
"BB",1973,35057
"BB",1974,35232
"BB",1975,37311
"BB",1976,39160
"BB",1977,41469
"BB",1978,43931
"BB",1979,41269
"BB",1980,44626
"BB",1981,44649
"BB",1982,49334
"BB",1983,51270
"BB",1984,51193
"BB",1985,49683
"BB",1986,47617
"BB",1987,43936
"BB",1988,45413
"BB",1989,46800
"BB",1990,47600
"BB",1991,46165
"BB",1992,44494
"BB",1993,43725
"BB",1994,42754
"BB",1995,44865
"BB",1996,46946
"BB",1997,47749
"BB",1998,47553
"BB",1999,46289
"BB",2000,54968
"BB",2001,54937
"BB",2002,52263
"BB",2003,53106
"BB",2004,52825
"BB",2005,52267
"BB",2006,52255
"BB",2007,56687
"BB",2008,51852
"BB",2009,48629
"BB",2010,49739
"BB",2011,49523
"BB",2012,46567
"BB",2013,43711
"BB",2014,43531
"BB",2015,43837
"BB",2016,44641
"BB",2017,43925.284
"BB",2018,43570.832
"BB",2019,39449.039
"BB",2020,32686.082
"BB",2021,34811.701
"AA",1960,1222
"AA",1961,1369
"AA",1962,1249
"AA",1963,1500
"AA",1964,1961
"AA",1965,2203
"AA",1966,2464
"AA",1967,2448
"AA",1968,2805
"AA",1969,3242
"AA",1970,3763
"AA",1971,4993
"AA",1972,4919
"AA",1973,5253
"AA",1974,5718
"AA",1975,7478
"AA",1976,9908
"AA",1977,11017
"AA",1978,10186
"AA",1979,10376
"AA",1980,10159
"AA",1981,12370
"AA",1982,12647
"AA",1983,14844
"AA",1984,15063
"AA",1985,17775
"AA",1986,18810
"AA",1987,20706
"AA",1988,24386
"AA",1989,25179
"AA",1990,25166
"AA",1991,23702
"AA",1992,26612
"AA",1993,27795
"AA",1994,29578
"AA",1995,28697
"AA",1996,29298
"AA",1997,30629
"AA",1998,32442
"AA",1999,32381
"AA",2000,34313
"AA",2001,35431
"AA",2002,34566
"AA",2003,35170
"AA",2004,35380
"AA",2005,35543
"AA",2006,32264
"AA",2007,34676
"AA",2008,33356
"AA",2009,34188
"AA",2010,30797
"AA",2011,31063
"AA",2012,31119
"AA",2013,26406
"AA",2014,25746
"AA",2015,22107
"AA",2016,18883
"AA",2017,18765
"AA",2018,17185.155
"AA",2019,12123.557
"AA",2020,6605
"AA",2021,5537.742
"CC",1990,673
"CC",1991,422
"CC",1992,700
"CC",1993,463
"CC",1994,101
"CC",1995,242
"CC",1996,120
"CC",1997,511
"CC",1998,538
"CC",1999,516
"CC",2000,1551
"CC",2001,1638
"CC",2002,2109
"CC",2003,2404
"CC",2004,2139
"CC",2005,2328
"CC",2006,2257
"CC",2007,2423
"CC",2008,2495
"CC",2009,1658
"CC",2010,2385
"CC",2011,2582
"CC",2012,2238
"CC",2013,2421
"CC",2014,2368
"CC",2015,2310
"CC",2016,2596
"CC",2017,1367.1
"CC",2018,1452.6
"CC",2019,1639.4
"CC",2020,1215.4
"CC",2021,1457
